source_partition,market_id,market_name,audit_status,provenance,product_count,n_paths,n_source_markets
Electronics,local_60681e14231cd9da3ad7,2_in_1_laptop,CLEAN,manual_audit,1183,1,1
Electronics,local_3ba74eccb06f56d4a236,3d_glasses,CLEAN,manual_audit,601,1,1
Electronics,local_77e762fc20680f7ea219,ac_adapter,CLEAN,manual_audit,15213,1,1
Electronics,local_00bd6909c8bd8f6ce4dd,access_control_keypad,CLEAN,manual_audit,125,1,1
Electronics,local_20bbbe4ca4aeb76225af,access_control_system,CLEAN,manual_audit,261,1,1
Electronics,local_1b3e115d64c46e2d5a8b,action_camera,CLEAN,manual_audit,1433,1,1
Electronics,local_5775704b56c0415473ce,adapter_ring,CLEAN,manual_audit,177,1,1
Electronics,local_0d042b04492f90755b09,all_in_one_desktop,CLEAN,manual_audit,1277,2,2
Electronics,local_b5bb528b47fd385f7d70,amplifier_installation_kit,CLEAN,manual_audit,22,1,1
Electronics,local_5bff6629089e571b0141,amplifier_wiring_kit,CLEAN,manual_audit,66,1,1
Electronics,local_e3debb092e769b6ab71a,antenna_mast,CLEAN,manual_audit,13,1,1
Electronics,local_7ad5dce283e6b221ccaa,audio_amplifier,CLEAN,manual_audit,2409,2,2
Electronics,local_0a513b312ccea526e989,audio_cable,CLEAN,manual_audit,4255,8,8
Electronics,local_07a733ee65106839aefe,audio_converter,CLEAN,manual_audit,14,1,1
Electronics,local_5790a49853fb97adcc6b,audio_crossover,CLEAN,manual_audit,120,1,1
Electronics,local_1f82ec39eda91b8e9281,audio_decoder,CLEAN,manual_audit,13,1,1
Electronics,local_a915f87f17d74dd2280c,audio_device_skin,CLEAN,manual_audit,99,1,1
Electronics,local_880f76f2f724daec8f26,audio_dock,CLEAN,manual_audit,404,1,1
Electronics,local_a92e8544809c18d277b5,audio_video_connector_adapter,CLEAN,manual_audit,9254,1,1
Electronics,local_215faff3d664fa152b0f,av_receiver,CLEAN,manual_audit,1222,3,3
Electronics,local_d00a1735bf8e49555ddd,av_switch,CLEAN,manual_audit,23,1,1
Electronics,local_11445f762cbcc4b1ea5b,aviation_headset,CLEAN,manual_audit,185,1,1
Electronics,local_6ccbf90583cc6e4c925e,aviation_radio,CLEAN,manual_audit,12,1,1
